,ID,Tên quán,Đánh giá,Sáng/Trưa/Tối,Giờ mở cửa,Giá tiền,Địa chỉ,Media,Lat,Lon,TestLat,TestLon
Phường 1,E001,The Lam,4.6,Tối,04:00 - 21:30,100.000,"35 Đường Lý Tự Trọng, Phường 1 Cũ, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@thelam35lytutrong/video/7564221039358561544?is_from_webapp=1&sender_device=pc&web_id=7565430107423360530,"11,9464512","108,4381986","11,9464512","108,4381986"
,E002,Cơm Tấm Sà Bì Chưởng - Đà Lạt,4.7,Sáng/Trưa/Tối,08:00 - 20:00,100.000,"1F Nam Kỳ Khởi Nghĩa, Phường 1, Đà Lạt, Lâm Đồng 66000, Việt Nam",https://www.tiktok.com/@hodongreviewmientay/video/7478170393946279176?is_from_webapp=1&sender_device=pc,"11,9423935","108,4356758","11,9423935","108,4356758"
,E003,SƯƠNG BÁNH MÌ XÍU MẠI,4.7,Tối,16:00 - 21:00,100.000,"14 Đường Ánh Sáng, Phường 1, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@dalatangi.1phutdalat/video/7513203323403635976?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9394527","108,4355373","11,9394527","108,4355373"
,E004,Tiệm ăn Đà Lạt Phố - Restaurant,4.8,Sáng/Trưa/Tối,09:30 - 21:30,100.000 - 200.000,"38 Đường Tăng Bạt Hổ, Phường 1, Đà Lạt, Lâm Đồng 66100, Việt Nam",not found,"11,9442842","108,4348971","11,9442842","108,4348971"
,E005,Happy Thái Đà Lạt - Món Thái Ngon Tuyệt,4.8,Trưa/Tối,11:00 - 22:00,100.000 - 200.000,"21 Đ. Nguyễn Văn Cừ, Phường 1, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@happythaidalat/video/7528470717101395208?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9404877","108,4321184","11,9404877","108,4321184"
,E006,Lẩu cá tầm Ngư Sơn CN1,4.3,Trưa/Tối,11:00 - 22:00,100.000 - 200.000,"33/15/3, Phan Đình Phùng, Phường 1, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@laucatamnguson/video/7272186794119056645?is_from_webapp=1&sender_device=pc,"11,942306","108,433422","1,1942306","10,8433422"
,E007,Tiệm Ăn bếp Đà Lạt - khu hoà bình,4.5,Sáng/Trưa/Tối,cả ngày,100.000,"69 Phan Bội Châu, Phường 1, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@di_vatrainghiem/video/7431033932193254674?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9446236","108,4378584","11,9446236","108,4378584"
,E008,Lẩu Mà La - Nhà hàng lẩu ngon Đà Lạt,4.3,Trưa/Tối,10:00 - 22:00,200.000 - 300.000,"22 Đ. Nguyễn Văn Cừ, Phường 1, Đà Lạt, Lâm Đồng, Việt Nam",https://www.tiktok.com/@vie.viee__/video/7528755885095652615?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,940016","108,4321368","1,1940016","108,4321368"
,E009,Món Thái - Khap Bun Kha,4.1,Sáng/Trưa/Tối,08:30 - 22:30,100.000 - 200.000,"26 Đ. Nguyễn Văn Cừ, Phường 1, Đà Lạt, Lâm Đồng 670000, Việt Nam",https://www.tiktok.com/@monthaikhapbunkhadl/video/7372814320381496584?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9399631","108,4322457","11,9399631","108,4322457"
,E010,Fungi Chingu Chợ Đêm,4.7,Sáng/Trưa/Tối,11:00 - 13:45 và 17:00 - 21:30,100.000 - 300.000,"1 Đường Nguyễn Thị Minh Khai, Phường 1, Đà Lạt, Lâm Đồng 66110, Việt Nam",https://www.tiktok.com/@kingvilladalat/video/7349530297211374849?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,"11,9419295","108,437259","11,9419295","10,8437259"
