Phường ,ID,Tên địa điểm,Giờ mở cửa,Giá vé / Giá nước,Địa chỉ,Class1,Class2,Link TikTok,TestLat,TestLon,Lat,Lon
Phường 1 ,P001,Chợ Đà Lạt,N/A,N/A,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Đường Nguyễn Thị Minh Khai, Phường 1, Đà Lạt, Lâm Đồng) ",Manmade,None,https://www.tiktok.com/@sasavivudalat/video/7551700508931640583?q=Review%20v%E1%BB%81%20ch%E1%BB%A3%20%C4%91%C3%A0%20l%E1%BA%A1t&t=1761031204584,119.429.643,1.084.368.668,"11,9429643","108,4368668"
,P002,Dinh tỉnh trưởng,7:30 - 17:00,N/A,"1 Lý Tự Trọng, Phường 1, TP. Đà Lạt",History,None,https://www.tiktok.com/@our.30s/video/7296432091078642962?q=Dinh%20t%E1%BB%89nh%20tr%C6%B0%E1%BB%9Fng&t=1761128694922,119.442.649,1.084.394.625,"11,9442649","108,4394625"
,P003,Quảng trường Lâm Viên,N/A,N/A,"Đ. Trần Quốc Toản, Phường 1, Đà Lạt, Lâm Đồng",Manmade,None,https://www.tiktok.com/@tom_laoshi/video/7506102333521022216?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,119.440.324,1.084.471.939,"11,9440324","108,4471939"
,P004,Hồ Xuân Hương Đà Lạt,N/A,N/A,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 1 trung tâm thành phố Đà Lạt, tỉnh Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@tiemanhbaprangbo/video/7424869261836881159,11.952.041,1.084.457.530,"11,9520410","108,4457530"
Phường 2 ,P005,Chùa Linh Sơn Đà Lạt,6:00 – 20:00,N/A,"120 Nguyễn Văn Trỗi, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 120 Nguyễn Văn Trỗi, Phường 2, Đà Lạt, Lâm Đồng) ",Spiritual,Healing,https://www.tiktok.com/search?q=review%20ch%C3%B9a%20linh%20s%C6%A1n%20%C4%91%C3%A0%20l%E1%BA%A1t&t=1761033861544,119.502.832,1.084.368.776,"11,9502832","108,4368776"
,P006,Nhà Thờ Don Bosco Đà Lạt,05:30 – 06:30 và 17:30 – 18:30,N/A,"4 Bùi Thị Xuân, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 4 Đường Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng) ",Spiritual,None,https://www.tiktok.com/@haristudalat/video/7534257214891101448,119.438.938,1.084.405.289,"11,9438938","108,4405289"
Phường 3 ,P007,Thác Datanla Đà Lạt,7:30 – 17:00,Chỉ từ 120.000 VND/ người (Cáp treo),"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : QL20 Đèo Prenn, Phường 3, Đà Lạt, Lâm Đồng) ",Sporty,"50% nature, 50% human",https://www.tiktok.com/@nhandian/video/7468691106100776200,11.952.041,1.084.457.530,"11,9520410","108,4457530"
,P008,Đồi Robin Đà Lạt,07:30 - 11:30 và 13:00 - 16:30,Chỉ từ 120.000 VND/ người,"Số 1 Đống Đa, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Số 1 đường Đống Đa, phường 3, thành phố Đà Lạt, tỉnh Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@giaygiaydalat/video/7546573939363826952,119.238.724,1.084.444.549,"11,9238724","108,4444549"
,P009,Cổng trời Bali Đà Lạt Greenhills,6:00 - 18:00,Chỉ từ 100.000 VND/ người,"3 Bis Đống Đa, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 3 Bis Đường Đống Đa, Phường 3, Đà Lạt, Lâm Đồng) ",Cafe,None,https://www.tiktok.com/@du_lich_dalat/video/7215480060214627611,119.243.016,1.084.458.335,"11,9243016","108,4458335"
,P010,Thiền Viện Trúc Lâm,5:00 - 21:00,N/A,"đường Trúc Lâm Yên Tử, Phường 3, thành phố Đà Lạt, tỉnh Lâm Đồng",Spiritual,Healing,https://www.tiktok.com/@dvnhadatminhkhuedt/video/7444088526100122898?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,119.012.003,1.084.418.100,"11,9012003","108,4418100"
,P011,Tea Resort Prenn Đà Lạt,7:00 - 17:00,Chỉ từ 220.000 VND/ người,"Cầu chân đèo Prenn, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Cầu chân đèo Prenn, Phường 3, Đà Lạt, Lâm Đồng) ",Manmade,Sporty,https://www.tiktok.com/@nguyenphudalat/video/7485334798311968017,1.187.942,1.084.707.342,"11,8794200","108,4707342"
,P012,Nhà Thờ Con Gà Đà Lạt,05:15 – 06:15 và 17:15 –18:15,N/A,"15 Trần Phú, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 15 Đ. Trần Phú, Phường 3, Đà Lạt, Lâm Đồng) ",Spiritual,History,https://www.tiktok.com/@hoiuc_dalat/video/7470951886837828871,119.360.336,1.084.378.049,"11,9360336","108,4378049"
Phường 4 ,P013,Hồ Tuyền Lâm Đà Lạt,N/A,N/A,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 4, Đà Lạt, Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@tumuondimuonnoi/video/7443722276912041232,11.952.041,1.084.457.530,"11,9520410","108,4457530"
,P014,Khu vui chơi Dalat Wonderland Đà Lạt,8:00 - 17:00,Chỉ từ 300.000 VND/ người,"Khu du lịch Quốc gia Hồ Tuyền Lâm, 19 Đ. Hoa Hồng, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Khu du lịch Quốc gia Hồ Tuyền Lâm, 19 Đ. Hoa Hồng, Phường 4, Đà Lạt, Lâm Đồng) ",Sporty,"50% nature, 50% human",https://www.tiktok.com/@didalatcungtruc/video/7322690359417507073,11.905.011,1.084.213.850,"11,9050110","108,4213850"
,P015,Đồi chè Cầu Đất Farm Đà Lạt,6:00 - 18:00,N/A,"Xuân Trường, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Xuân Trường, Phường 4, Đà Lạt, Lâm Đồng) ",Healing,"50% nature, 50% human",https://www.tiktok.com/@rongchoidalattravel/video/7558673547804151048,119.357.966,1.084.322.289,"11,9357966","108,4322289"
,P016,Đường hầm điêu khắc đất sét Đà Lạt,07:30 - 17:00,Chỉ từ 120.000 VND/ người,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 4, Đà Lạt, Lâm Đồng) ",Manmade,History,https://www.tiktok.com/@512vietnguyen/video/7260809285892885767,11.952.041,1.084.457.530,"11,9520410","108,4457530"
,P017,Ngôi nhà điên Đà Lạt,8:30 – 18:30,Chỉ từ 80.000 VND/ người,"3 Huỳnh Thúc Kháng, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 03 Đ. Huỳnh Thúc Kháng, Phường 4, Đà Lạt, Lâm Đồng) ",Manmade,None,https://www.tiktok.com/@callmevyvo/video/7154697976508632346,119.345.743,1.084.304.349,"11,9345743","108,4304349"
,P018,Suối tía,8:30 - 17:30,Giá vé: 30.000 VND,"Phường 4, Đà Lạt, Lâm Đồng",Pure nature,Healing,https://www.tiktok.com/@blogcuarot/video/7330951771667352834?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.357.966,1.084.322.289,"11,9357966","108,4322289"
,P019,Chùa Lâm Tỳ Ni Đà Lạt,N/A,N/A,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 2 Thiện Mỹ, Phường 4, Đà Lạt, Lâm Đồng) ",Spiritual,Healing,https://www.tiktok.com/discover/ch%C3%B9a-l%C3%A2m-t%E1%BB%B3-ni-%C4%91%C3%A0-l%E1%BA%A1t,119.368.732,1.084.255.626,"11,9368732","108,4255626"
,P020,Lăng Nguyễn Hữu Hào,N/A,N/A,"đường Vạn Thành, phường 4, TP. Đà Lạt, tỉnh Lâm Đồng",Spiritual,Healing,https://www.tiktok.com/@toiladandalat/video/7483456772993240342?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.490.322,1.084.055.767,"11,9490322","108,4055767"
,P021,Dinh Bảo Đại III Đà Lạt,7:00 - 17:30,Chỉ từ 30.000 VND/ người,"1 Triệu Việt Vương, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 1 Đường Triệu Việt Vương, Phường 4, Đà Lạt, Lâm Đồng) ",History,None,https://www.tiktok.com/@nguyenphudalat/video/7541332349934439697,119.299.057,1.084.298.302,"11,9299057","108,4298302"
,P022,Crazy House,8:30 - 18:00,80.000 VND,"03 Đ. Huỳnh Thúc Kháng, Phường 4, Đà Lạt, Lâm Đồng",Manmade,bizarre,https://www.tiktok.com/@huongnoidian/video/7527037092967369992?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.345.743,1.084.304.349,"11,9345743","108,4304349"
,P023,Happy Hill,7:00 - 17:30,Giá vé gồm nước: 80.000 VND/ người,"Happy Hill, Hoa Phượng Tím, Phường 4, Thành Phố Đà lạt",Cafe,Healing,https://www.tiktok.com/@chutai.dalat/video/7511629620748225810?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.883.968,1.084.177.600,"11,8839680","108,4177600"
,P024,Hiệp Khách Lầu Đà Lạt,8:00 - 17:30,N/A,"Hẻm 27 Lê Hồng Phong, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Hẻm 27 Lê Hồng Phong, Phường 04, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@hiepkhachlaudalat/video/7315680739536751874,119.319.295,1.084.257.795,"11,9319295","108,4257795"
Phường 5 ,P025,Fresh Garden Đà Lạt,07:30 - 17:00,Chỉ từ 108.000 VND/ người,"90B Vạn Thành, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 90B Vạn Thành, Phường 5, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@didalatcungtruc/video/7464567210669837586,119.462.747,1.084.083.115,"11,9462747","108,4083115"
,P026,Langfarm Center ,7:30 - 17:30,99.000 VND/ người,"1B Đường Hoàng Văn Thụ, Phường 5, Đà Lạt, Lâm Đồng ",Manmade,Sporty,https://www.tiktok.com/@trongtamdalat/video/7455178464073764104?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,119.453.693,1.084.164.428,"11,9453693","108,4164428"
,P027,Fairytale Land Đà Lạt,07:30 - 17:00,Chỉ từ 80.000 VND/ người,"81D Hoàng Văn Thụ, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 81D Hoàng Văn Thụ, Phường 5, Thành phố Đà Lạt, Tỉnh Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@didalatcungtruc/video/7497550617326456071,119.484.568,1.084.029.748,"11,9484568","108,4029748"
,P028,Madame De Dalat,07:30 - 17:30,Chỉ từ 150.000 VND/ người,"2 Yết Kiêu, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 2 Đ. Yết Kiêu, Phường 5, Đà Lạt, Lâm Đồng) ",History,None,https://www.tiktok.com/@didalat.review/video/7452682081274039570,119.463.814,1.084.263.065,"11,9463814","108,4263065"
,P029,Khu Du lịch Sinh thái Hoa Sơn Điền Trang Đà Lạt,7:00 - 17:00,Chỉ từ 50.000 VND/ người,"Tiểu khu 159, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tiểu khu 159 Phường 5 hướng đi đèo, 159 ĐT725, P. 5, Đà Lạt, Lâm Đồng) ",Manmade,Sporty,https://www.tiktok.com/@elricreviewer/video/7333092463785118994,119.492.946,1.084.315.292,"11,9492946","108,4315292"
,P030,"Con đường hoa mai anh đào (đi vào tháng đầu năm(1, 2))",7:00 - 17:00,N/A,"Đường Trần Hưng Đạo, dốc Đa Quý",Pure nature,Healing,https://www.tiktok.com/@widytu1022/video/7189656416456658203?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,11.941.119.351.966.900,10.851.293.775.189.200,"11,9411194","108,5129378"
